# Taxonomy	Mean
k__Archaea	1.34982638888889
k__Bacteria	2.3825828445672

k__Archaea;p__Crenarchaeota	1
k__Archaea;p__Euryarchaeota	1.69965277777778
k__Bacteria;p__Acidobacteria	1.5
k__Bacteria;p__Actinobacteria	2.06713333333333
k__Bacteria;p__Aquificae	1.9375
k__Bacteria;p__Bacteroidetes	2.7374255952381
k__Bacteria;p__Chlamydiae	1.75
k__Bacteria;p__Chlorobi	1.58
k__Bacteria;p__Chloroflexi	2
k__Bacteria;p__Cyanobacteria	2.18349358974359
k__Bacteria;p__Deferribacteres	2
k__Bacteria;p__Dictyoglomi	2
k__Bacteria;p__Elusimicrobia	1
k__Bacteria;p__Firmicutes	4.91597044159544
k__Bacteria;p__Fusobacteria	3.6875
k__Bacteria;p__Gemmatimonadetes	1
k__Bacteria;p__Lentisphaerae	8
k__Bacteria;p__Nitrospirae	1
k__Bacteria;p__Planctomycetes	2.16666666666667
k__Bacteria;p__Proteobacteria	3.09135489336962
k__Bacteria;p__Spirochaetes	1.62845385067607
k__Bacteria;p__Synergistetes	2.5
k__Bacteria;p__Tenericutes	1.9614898989899
k__Bacteria;p__Thermi	2.875
k__Bacteria;p__Thermotogae	2.1
k__Bacteria;p__Verrucomicrobia	1.5

k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	1
k__Archaea;p__Crenarchaeota;c__Thermoprotei	1
k__Archaea;p__Euryarchaeota;c__Archaeoglobi	1
k__Archaea;p__Euryarchaeota;c__Halobacteria	2.11111111111111
k__Archaea;p__Euryarchaeota;c__Methanobacteria	2.66666666666667
k__Archaea;p__Euryarchaeota;c__Methanococci	2.375
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	2.44444444444444
k__Archaea;p__Euryarchaeota;c__Methanopyri	1
k__Archaea;p__Euryarchaeota;c__Thermococci	1
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria	1
k__Bacteria;p__Acidobacteria;c__Solibacteres	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria	2.06713333333333
k__Bacteria;p__Aquificae;c__Aquificae	1.9375
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	2.89322916666667
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	3.03571428571429
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	2.28333333333333
k__Bacteria;p__Chlamydiae;c__Chlamydiae	1.75
k__Bacteria;p__Chlorobi;c__Chlorobia	1.58
k__Bacteria;p__Chloroflexi;c__Chloroflexi	3
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	1
k__Bacteria;p__Chloroflexi;c__Thermobacula	2
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae	1
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	3.875
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	2.16666666666667
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	1.69230769230769
k__Bacteria;p__Deferribacteres;c__Deferribacteres	2
k__Bacteria;p__Dictyoglomi;c__Dictyoglomia	2
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	1
k__Bacteria;p__Firmicutes;c__Bacilli	5.83124643874644
k__Bacteria;p__Firmicutes;c__Clostridia	4.00069444444444
k__Bacteria;p__Fusobacteria;c__Fusobacteria	3.6875
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	1
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae	8
k__Bacteria;p__Nitrospirae;c__Nitrospira	1
k__Bacteria;p__Planctomycetes;c__Planctomycea	2.16666666666667
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	2.12572751322751
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	3.00916704822955
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	2.58647486772487
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	4.13767006802721
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	4.68908986300857
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	2
k__Bacteria;p__Spirochaetes;c__Brachyspirae	1
k__Bacteria;p__Spirochaetes;c__Leptospirae	2
k__Bacteria;p__Spirochaetes;c__Spirochaetes	1.88536155202822
k__Bacteria;p__Synergistetes;c__Synergistia	2.5
k__Bacteria;p__Tenericutes;c__Mollicutes	1.9614898989899
k__Bacteria;p__Thermi;c__Deinococci	2.875
k__Bacteria;p__Thermotogae;c__Thermotogae	2.1
k__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae	1
k__Bacteria;p__Verrucomicrobia;c__Opitutae	1
k__Bacteria;p__Verrucomicrobia;c__Spartobacteria	1
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	3

k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	1
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales	1
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales	1
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales	1
k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales	1
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	2.11111111111111
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	2.66666666666667
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales	2.375
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales	2
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	2.83333333333333
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	2.5
k__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales	1
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales	1
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales	1
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	3.07733333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	2.925
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	1.33333333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Rubrobacterales	1
k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	1.9375
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	2.89322916666667
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	3.03571428571429
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	2.28333333333333
k__Bacteria;p__Chlamydiae;c__Chlamydiae;o__Chlamydiales	1.75
k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales	1.58
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales	2
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales	5
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Roseiflexales	2
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales	1
k__Bacteria;p__Chloroflexi;c__Thermobacula;o__Thermobaculales	2
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae;o__Gloeobacterales	1
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	3.875
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	2
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales	2.33333333333333
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	1.69230769230769
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	2
k__Bacteria;p__Dictyoglomi;c__Dictyoglomia;o__Dictyoglomales	2
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	8.14259259259259
k__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales	9
k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	5.18239316239316
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	4.89166666666667
k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales	4.5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales	4
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	2.61111111111111
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	3.6875
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	1
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae;o__Lentisphaerales	8
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	1
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales	3.5
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales	1
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales	2
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	1.5
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	2.62103174603175
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	2.20833333333333
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	3.8
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	1
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	1.625
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	2.97166895604396
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales	2
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	2.25
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	6.33333333333333
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales	1
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	3.5
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	2
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	4.5
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	2.20634920634921
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	2.29166666666667
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	2.6875
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	1.83333333333333
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	2.77534013605442
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales	5.5
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	8.75
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	7.6530612244898
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	3
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	2.05555555555556
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	5.66420347138684
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	1.92857142857143
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	2.5
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	4.04166666666667
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	5.75
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	5.33912037037037
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	3
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	11.1595238095238
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	2.80555555555556
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales	2
k__Bacteria;p__Spirochaetes;c__Brachyspirae;o__Brachyspirales	1
k__Bacteria;p__Spirochaetes;c__Leptospirae;o__Leptospirales	2
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	1.88536155202822
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	2.5
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	2
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales	2
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	1.8844696969697
k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales	3.75
k__Bacteria;p__Thermi;c__Deinococci;o__Thermales	2
