# Taxonomy	Num	Mean	Stddev
k__Archaea	2	1.34982638888889	0.34982638888889
k__Bacteria	23	2.27136818989792	1.12303345785218

k__Archaea;p__Crenarchaeota	3	1	0
k__Archaea;p__Euryarchaeota	8	1.69965277777778	0.71355433889802
k__Bacteria;p__Acidobacteria	2	1.5	0.5
k__Bacteria;p__Actinobacteria	1	2.08083333333333	0
k__Bacteria;p__Aquificae	1	1.91666666666667	0
k__Bacteria;p__Bacteroidetes	4	3.82440476190476	0.72185351110637
k__Bacteria;p__Chlamydiae	1	1.875	0
k__Bacteria;p__Chlorobi	1	1.6	0
k__Bacteria;p__Chloroflexi	3	2.11111111111111	0.95581391856029
k__Bacteria;p__Cyanobacteria	4	2.17361111111111	1.1149888929857
k__Bacteria;p__Deferribacteres	1	2	0
k__Bacteria;p__Dictyoglomi	1	2	0
k__Bacteria;p__Elusimicrobia	1	1	0
k__Bacteria;p__Firmicutes	2	5.60396343388331	1.59347732277219
k__Bacteria;p__Fusobacteria	1	4.66666666666667	0
k__Bacteria;p__Gemmatimonadetes	1	1	0
k__Bacteria;p__Nitrospirae	1	1	0
k__Bacteria;p__Planctomycetes	2	1.5	0.5
k__Bacteria;p__Proteobacteria	5	3.22662109538493	0.89174038923335
k__Bacteria;p__Spirochaetes	3	1.62698412698413	0.44600067676912
k__Bacteria;p__Synergistetes	1	3	0
k__Bacteria;p__Tenericutes	1	1.89393939393939	0
k__Bacteria;p__Thermi	1	2.875	0
k__Bacteria;p__Thermotogae	1	2.1	0
k__Bacteria;p__Verrucomicrobia	3	1.66666666666667	0.94280904158206

k__Archaea;p__Crenarchaeota;c__Korarchaeota	1	1	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei	3	1	0
k__Archaea;p__Euryarchaeota;c__Archaeoglobi	1	1	0
k__Archaea;p__Euryarchaeota;c__Halobacteria	1	2.11111111111111	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	1	2.66666666666667	0
k__Archaea;p__Euryarchaeota;c__Methanococci	1	2.375	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	3	2.44444444444444	0.34246744460939
k__Archaea;p__Euryarchaeota;c__Methanopyri	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermococci	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	1	1	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria	1	1	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	1	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	5	2.08083333333333	0.84620722442358
k__Bacteria;p__Aquificae;c__Aquificae	1	1.91666666666667	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	1	4.58333333333333	0
k__Bacteria;p__Bacteroidetes;c__Clostridia	1	4.5	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	1	3.21428571428571	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	1	3	0
k__Bacteria;p__Chlamydiae;c__Chlamydiae	1	1.875	0
k__Bacteria;p__Chlorobi;c__Chlorobia	1	1.6	0
k__Bacteria;p__Chloroflexi;c__Chloroflexi	3	3.33333333333333	1.24721912892465
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	1	1	0
k__Bacteria;p__Chloroflexi;c__Thermobacula	1	2	0
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae	1	1	0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	1	4	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	2	2	0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	1	1.69444444444444	0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	1	2	0
k__Bacteria;p__Dictyoglomi;c__Dictyoglomia	1	2	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli	3	7.1974407566555	1.9609065009543
k__Bacteria;p__Firmicutes;c__Clostridia	4	4.01048611111111	0.87249974298256
k__Bacteria;p__Fusobacteria;c__Fusobacteria	1	4.66666666666667	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	1	1	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	1	1	0
k__Bacteria;p__Planctomycetes;c__Kueneniae	1	1	0
k__Bacteria;p__Planctomycetes;c__Planctomycea	3	2	0.81649658092773
