# Taxonomy	Num	Mean	Stddev
k__Archaea	2	1.34982638888889	0.34982638888889
k__Bacteria	24	2.37963136082141	1.46505398420371

k__Archaea;p__Crenarchaeota	3	1	0
k__Archaea;p__Euryarchaeota	8	1.69965277777778	0.71355433889802
k__Bacteria;p__Acidobacteria	2	1.5	0.5
k__Bacteria;p__Actinobacteria	1	2.08083333333333	0
k__Bacteria;p__Aquificae	1	2.02083333333333	0
k__Bacteria;p__Bacteroidetes	4	3.30884615384615	0.69949442858489
k__Bacteria;p__Chlamydiae	1	1.75	0
k__Bacteria;p__Chlorobi	1	1.5	0
k__Bacteria;p__Chloroflexi	3	2	0.81649658092773
k__Bacteria;p__Cyanobacteria	4	2.18349358974359	1.06106052420242
k__Bacteria;p__Deferribacteres	1	2	0
k__Bacteria;p__Dictyoglomi	1	2	0
k__Bacteria;p__Elusimicrobia	1	1	0
k__Bacteria;p__Firmicutes	2	4.82928333930137	0.81879722819026
k__Bacteria;p__Fusobacteria	1	3.6875	0
k__Bacteria;p__Gemmatimonadetes	1	1	0
k__Bacteria;p__Lentisphaerae	1	8	0
k__Bacteria;p__Nitrospirae	1	1	0
k__Bacteria;p__Planctomycetes	2	1.58333333333333	0.58333333333333
k__Bacteria;p__Proteobacteria	6	3.10208582715688	1.0143349510105
k__Bacteria;p__Spirochaetes	3	1.62845385067607	0.4468416388092
k__Bacteria;p__Synergistetes	1	2.5	0
k__Bacteria;p__Tenericutes	1	1.9614898989899	0
k__Bacteria;p__Thermi	1	2.875	0
k__Bacteria;p__Thermotogae	1	2.1	0
k__Bacteria;p__Verrucomicrobia	4	1.5	0.86602540378444

k__Archaea;p__Crenarchaeota;c__Korarchaeota	1	1	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei	3	1	0
k__Archaea;p__Euryarchaeota;c__Archaeoglobi	1	1	0
k__Archaea;p__Euryarchaeota;c__Halobacteria	1	2.11111111111111	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	1	2.66666666666667	0
k__Archaea;p__Euryarchaeota;c__Methanococci	1	2.375	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	3	2.44444444444444	0.34246744460939
k__Archaea;p__Euryarchaeota;c__Methanopyri	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermococci	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	1	1	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria	1	1	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	1	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	5	2.08083333333333	0.84620722442358
k__Bacteria;p__Aquificae;c__Aquificae	1	2.02083333333333	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	1	2.85	0
k__Bacteria;p__Bacteroidetes;c__Clostridia	1	4.5	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	1	3.11538461538462	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	1	2.77	0
k__Bacteria;p__Chlamydiae;c__Chlamydiae	1	1.75	0
k__Bacteria;p__Chlorobi;c__Chlorobia	1	1.5	0
k__Bacteria;p__Chloroflexi;c__Chloroflexi	3	3	1.4142135623731
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	1	1	0
k__Bacteria;p__Chloroflexi;c__Thermobacula	1	2	0
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae	1	1	0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	1	3.875	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	2	2.16666666666667	0.16666666666667
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	1	1.69230769230769	0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	1	2	0
k__Bacteria;p__Dictyoglomi;c__Dictyoglomia	1	2	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli	4	5.64808056749163	3.17575451135811
k__Bacteria;p__Firmicutes;c__Clostridia	4	4.01048611111111	0.87249974298256
k__Bacteria;p__Fusobacteria;c__Fusobacteria	1	3.6875	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	1	1	0
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae	1	8	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	1	1	0
k__Bacteria;p__Planctomycetes;c__Kueneniae	1	1	0
k__Bacteria;p__Planctomycetes;c__Planctomycea	3	2.16666666666667	1.02740233382816
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	6	2.12374338624339	0.90858763168773
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	6	3.00247061965812	1.6796958085093
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	6	2.61425264550265	0.8743061834357
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	2	4.12392006802721	1.37607993197279
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	14	4.7481282435099	2.71437242751408
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	1	2	0
k__Bacteria;p__Spirochaetes;c__Brachyspirae	1	1	0
k__Bacteria;p__Spirochaetes;c__Leptospirae	1	2	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	1	1.88536155202822	0
k__Bacteria;p__Synergistetes;c__Synergistia	1	2.5	0
k__Bacteria;p__Tenericutes;c__Mollicutes	3	1.9614898989899	0.05446150713684
k__Bacteria;p__Thermi;c__Deinococci	2	2.875	0.875
k__Bacteria;p__Thermotogae;c__Thermotogae	1	2.1	0
k__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Spartobacteria	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	1	3	0

k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__Korarchaeotales	1	1	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales	2	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales	2	1	0
k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales	1	1	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	1	2.11111111111111	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	1	2.66666666666667	0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales	2	2.375	0.375
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales	1	2	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	3	2.83333333333333	1.02740233382816
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	2	2.5	0.5
k__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	3	1	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales	2	1	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	1	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales	1	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	26	3.14583333333333	1.32152473208842
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1	2.925	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	1	1.33333333333333	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Rubrobacterales	1	1	0
k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	2	2.02083333333333	0.64583333333333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4	2.85	0.68323169975899
k__Bacteria;p__Bacteroidetes;c__Clostridia;o__Clostridiales	1	4.5	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	1	3.11538461538462	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	5	2.77	1.8792551716039
k__Bacteria;p__Chlamydiae;c__Chlamydiae;o__Chlamydiales	4	1.75	0.55901699437495
k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales	1	1.5	0
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales	2	2	1
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales	1	5	0
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Roseiflexales	1	2	0
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales	1	1	0
k__Bacteria;p__Chloroflexi;c__Thermobacula;o__Thermobaculales	1	2	0
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae;o__Gloeobacterales	1	1	0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	1	3.875	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	1	2	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales	1	2.33333333333333	0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	2	1.69230769230769	0.30769230769231
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	1	2	0
k__Bacteria;p__Dictyoglomi;c__Dictyoglomia;o__Dictyoglomales	1	2	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	6	8.12121362433862	3.05703408664954
k__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales	1	9	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	4	4.47110864562788	1.04369146799239
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	10	4.93083333333333	2.71456987077757
k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales	2	4.5	0.5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales	1	4	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	3	2.61111111111111	0.43744488188955
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	1	3.6875	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	1	1	0
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae;o__Lentisphaerales	1	8	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	1	1	0
k__Bacteria;p__Planctomycetes;c__Kueneniae;o__Kueneniales	1	1	0
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales	2	3.5	0.5
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales	1	1	0
k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales	1	2	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	1	1.5	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	9	2.60912698412698	1.29747948378152
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	2	2.20833333333333	0.54166666666667
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	2	3.8	0.2
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	2	1	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	2	1.625	0.625
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	4	2.93149038461538	0.40470594112471
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales	1	2	0
