# Taxonomy	Num	Mean	Stddev
k__Archaea	2	1.34982638888889	0.34982638888889
k__Bacteria	24	2.3825828445672	1.45124136612042

k__Archaea;p__Crenarchaeota	2	1	0
k__Archaea;p__Euryarchaeota	8	1.69965277777778	0.71355433889802
k__Bacteria;p__Acidobacteria	2	1.5	0.5
k__Bacteria;p__Actinobacteria	1	2.06713333333333	0
k__Bacteria;p__Aquificae	1	1.9375	0
k__Bacteria;p__Bacteroidetes	3	2.7374255952381	0.32631818728438
k__Bacteria;p__Chlamydiae	1	1.75	0
k__Bacteria;p__Chlorobi	1	1.58	0
k__Bacteria;p__Chloroflexi	3	2	0.81649658092773
k__Bacteria;p__Cyanobacteria	4	2.18349358974359	1.06106052420242
k__Bacteria;p__Deferribacteres	1	2	0
k__Bacteria;p__Dictyoglomi	1	2	0
k__Bacteria;p__Elusimicrobia	1	1	0
k__Bacteria;p__Firmicutes	2	4.91597044159544	0.915275997151
k__Bacteria;p__Fusobacteria	1	3.6875	0
k__Bacteria;p__Gemmatimonadetes	1	1	0
k__Bacteria;p__Lentisphaerae	1	8	0
k__Bacteria;p__Nitrospirae	1	1	0
k__Bacteria;p__Planctomycetes	1	2.16666666666667	0
k__Bacteria;p__Proteobacteria	6	3.09135489336962	1.00271987619272
k__Bacteria;p__Spirochaetes	3	1.62845385067607	0.4468416388092
k__Bacteria;p__Synergistetes	1	2.5	0
k__Bacteria;p__Tenericutes	1	1.9614898989899	0
k__Bacteria;p__Thermi	1	2.875	0
k__Bacteria;p__Thermotogae	1	2.1	0
k__Bacteria;p__Verrucomicrobia	4	1.5	0.86602540378444

k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei	3	1	0
k__Archaea;p__Euryarchaeota;c__Archaeoglobi	1	1	0
k__Archaea;p__Euryarchaeota;c__Halobacteria	1	2.11111111111111	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	1	2.66666666666667	0
k__Archaea;p__Euryarchaeota;c__Methanococci	1	2.375	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	3	2.44444444444444	0.34246744460939
k__Archaea;p__Euryarchaeota;c__Methanopyri	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermococci	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	1	1	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria	1	1	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	1	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	5	2.06713333333333	0.82923846188335
k__Bacteria;p__Aquificae;c__Aquificae	1	1.9375	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	1	2.89322916666667	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	1	3.03571428571429	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	1	2.28333333333333	0
k__Bacteria;p__Chlamydiae;c__Chlamydiae	1	1.75	0
k__Bacteria;p__Chlorobi;c__Chlorobia	1	1.58	0
k__Bacteria;p__Chloroflexi;c__Chloroflexi	3	3	1.4142135623731
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	1	1	0
k__Bacteria;p__Chloroflexi;c__Thermobacula	1	2	0
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae	1	1	0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	1	3.875	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	2	2.16666666666667	0.16666666666667
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	1	1.69230769230769	0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	1	2	0
k__Bacteria;p__Dictyoglomi;c__Dictyoglomia	1	2	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli	4	5.83124643874644	3.12830916394908
k__Bacteria;p__Firmicutes;c__Clostridia	4	4.00069444444444	0.86227603774996
k__Bacteria;p__Fusobacteria;c__Fusobacteria	1	3.6875	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	1	1	0
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae	1	8	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	1	1	0
k__Bacteria;p__Planctomycetes;c__Planctomycea	3	2.16666666666667	1.02740233382816
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	6	2.12572751322751	0.90965778930529
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	6	3.00916704822955	1.67947955979044
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	6	2.58647486772487	0.89576474258459
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	2	4.13767006802721	1.36232993197279
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	14	4.68908986300857	2.75024337189777
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	1	2	0
k__Bacteria;p__Spirochaetes;c__Brachyspirae	1	1	0
k__Bacteria;p__Spirochaetes;c__Leptospirae	1	2	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	1	1.88536155202822	0
k__Bacteria;p__Synergistetes;c__Synergistia	1	2.5	0
k__Bacteria;p__Tenericutes;c__Mollicutes	3	1.9614898989899	0.05446150713684
k__Bacteria;p__Thermi;c__Deinococci	2	2.875	0.875
k__Bacteria;p__Thermotogae;c__Thermotogae	1	2.1	0
k__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Spartobacteria	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	1	3	0

k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales	2	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales	2	1	0
k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales	1	1	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	1	2.11111111111111	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	1	2.66666666666667	0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales	2	2.375	0.375
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales	1	2	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	3	2.83333333333333	1.02740233382816
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	2	2.5	0.5
k__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales	1	1	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	3	1	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales	1	1	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	1	2	0
