taxon_oid	Domain	Status	Genome Name	Phylum	Class	Order	Family	Genus	Species	Genome Size	Gene Count	16S rRNA Count
650716001	Archaea	Finished	Acidianus hospitalis W1	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	hospitalis	2137654	2404	1
648028003	Archaea	Finished	Acidilobus saccharovorans 345-15	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	saccharovorans	1496453	1547	1
647533100	Archaea	Draft	Aciduliprofundum boonei T469	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Aciduloprofundaceae	Aciduliprofundum	boonei	2981805	3043	1
646564501	Archaea	Finished	Aciduliprofundum boonei T469	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Aciduloprofundaceae	Aciduliprofundum	boonei	1486778	1587	1
638154501	Archaea	Finished	Aeropyrum pernix K1	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	pernix	1669695	2820	1
638154502	Archaea	Finished	Archaeoglobus fulgidus VC-16, DSM 4304	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	fulgidus	2178400	2519	1
646311906	Archaea	Finished	Archaeoglobus profundus DSM 5631	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	profundus	1563423	1911	1
641228483	Archaea	Finished	Caldivirga maquilingensis IC-167	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	maquilingensis	2077567	2011	1
641522611	Archaea	Finished	Candidatus Korarchaeum cryptofilum OPF8	Crenarchaeota	Korarchaeota	Korarchaeales	Korarchaeaceae	Candidatus Korarchaeum	cryptofilum	1590757	1661	1
640753014	Archaea	Finished	Candidatus Methanoregula boonei 6A8	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	boonei	2542943	2518	1
651324018	Archaea	Draft	Candidatus Nitrosoarchaeum limnia SFB1	Crenarchaeota	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosoarchaeum	Nitrosoarchaeum	1743235	2088	1
641522613	Archaea	Finished	Cenarchaeum symbiosum A	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	symbiosum	2045085	2066	1
643348540	Archaea	Finished	Desulfurococcus kamchatkensis 1221n	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	kamchatkensis	1365223	1521	1
649633040	Archaea	Finished	Desulfurococcus mucosus 07/1, DSM 2162	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	mucosus	1314639	1421	1
646564534	Archaea	Finished	Ferroglobus placidus AEDII12DO, DSM 10642	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	placidus	2196266	2622	1
638341092	Archaea	Draft	Ferroplasma acidarmanus Fer1	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	acidarmanus	1865438	1742	1
649989953	Archaea	Draft	Haladaptatus paucihalophilus DX253	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	paucihalophilus	4284805	4496	3
648028029	Archaea	Finished	Halalkalicoccus jeotgali B3, DSM 18796	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	jeotgali	3698637	3925	1
638154503	Archaea	Finished	Haloarcula marismortui ATCC 43049	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	marismortui	4274642	4387	3
